WSid, Watersource,Category11904,NEW SOUTH WALES MURRAY REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER (LOWBIDGEE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,COLEAMBALLY IRRIGATION (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,MURRUMBIDGEE IRRIGATION (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER (LOWBIDGEE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,COLEAMBALLY IRRIGATION (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,MURRUMBIDGEE IRRIGATION (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (CONVEYANCE)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER
11982,MURRUMBIDGEE REGULATED RIVER WATER SOURCE,SUPPLEMENTARY WATER (LOWBIDGEE)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (GENERAL SECURITY)
11983,LACHLAN REGULATED RIVER WATER SOURCE,REGULATED RIVER (HIGH SECURITY)
11984,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE [THAT PART OF THE WATER SOURCE DOWNSTREAM OF THE UPPER LIMIT OF LAKE BURRENDONG],REGULATED RIVER (GENERAL SECURITY)
